bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
0,00,Panini,0,0,Logo Panini (foil),T2,0
1,FWC1,FWC Especiales,0,1,Emblema oficial 1/2 (foil),T2,1
2,FWC2,FWC Especiales,0,2,Emblema oficial 2/2 (foil),T2,1
3,FWC3,FWC Especiales,0,3,Mascotas oficiales (foil),T2,1
4,FWC4,FWC Especiales,0,4,Eslogan oficial (foil),T2,1
5,FWC5,FWC Especiales,0,5,Balon oficial (foil),T2,2
6,FWC6,FWC Especiales,0,6,Canada - anfitrion (foil),T2,2
7,FWC7,FWC Especiales,0,7,Mexico - anfitrion (foil),T2,3
8,FWC8,FWC Especiales,0,8,USA - anfitrion (foil),T2,3
9,FWC9,FWC Especiales,0,9,Italia 1934 - FIFA Museum (foil),T2,106
10,FWC10,FWC Especiales,0,10,Uruguay 1950 - FIFA Museum (foil),T2,106
11,FWC11,FWC Especiales,0,11,Alemania Occ. 1954 - FIFA Museum (foil),T2,107
12,FWC12,FWC Especiales,0,12,Brasil 1962 - FIFA Museum (foil),T2,107
13,FWC13,FWC Especiales,0,13,Alemania Occ. 1974 - FIFA Museum (foil),T2,107
14,FWC14,FWC Especiales,0,14,Argentina 1986 - FIFA Museum (foil),T2,108
15,FWC15,FWC Especiales,0,15,Brasil 1994 - FIFA Museum (foil),T2,108
16,FWC16,FWC Especiales,0,16,Brasil 2002 - FIFA Museum (foil),T2,109
17,FWC17,FWC Especiales,0,17,Italia 2006 - FIFA Museum (foil),T2,109
18,FWC18,FWC Especiales,0,18,Alemania 2014 - FIFA Museum (foil),T2,109
19,FWC19,FWC Especiales,0,19,Argentina 2022 - FIFA Museum (foil),T2,109
20,MEX1,Mexico,1,1,Escudo (foil),T2,8-9
21,MEX2,Mexico,1,2,Luis Malagón,base,8-9
22,MEX3,Mexico,1,3,Johan Vásquez,base,8-9
23,MEX4,Mexico,1,4,Jorge Sánchez,base,8-9
24,MEX5,Mexico,1,5,César Montes,base,8-9
25,MEX6,Mexico,1,6,Jesús Gallardo,base,8-9
26,MEX7,Mexico,1,7,Israel Reyes,base,8-9
27,MEX8,Mexico,1,8,Diego Lainez,base,8-9
28,MEX9,Mexico,1,9,Carlos Rodríguez,base,8-9
29,MEX10,Mexico,1,10,Edson Álvarez,base,8-9
30,MEX11,Mexico,1,11,Orbelín Pineda,base,8-9
31,MEX12,Mexico,1,12,Marcel Ruiz,base,8-9
32,MEX13,Mexico,1,13,Foto equipo,base,8-9
33,MEX14,Mexico,1,14,Érick Sánchez,base,8-9
34,MEX15,Mexico,1,15,Hirving Lozano,base,8-9
35,MEX16,Mexico,1,16,Santiago Giménez,base,8-9
36,MEX17,Mexico,1,17,Raúl Jiménez,base,8-9
37,MEX18,Mexico,1,18,Alexis Vega,base,8-9
38,MEX19,Mexico,1,19,Roberto Alvarado,base,8-9
39,MEX20,Mexico,1,20,César Huerta,base,8-9
40,RSA1,Sudafrica,2,1,Escudo (foil),T2,10-11
41,RSA2,Sudafrica,2,2,Ronwen Williams,base,10-11
42,RSA3,Sudafrica,2,3,Sipho Chaine,base,10-11
43,RSA4,Sudafrica,2,4,Aubrey Modiba,base,10-11
44,RSA5,Sudafrica,2,5,Samukele Kabini,base,10-11
45,RSA6,Sudafrica,2,6,Mbekezeli Mbokazi,base,10-11
46,RSA7,Sudafrica,2,7,Khulumani Ndamane,base,10-11
47,RSA8,Sudafrica,2,8,Siyabonga Ngezana,base,10-11
48,RSA9,Sudafrica,2,9,Khuliso Mudau,base,10-11
49,RSA10,Sudafrica,2,10,Nkosinathi Sibisi,base,10-11
50,RSA11,Sudafrica,2,11,Teboho Mokoena,base,10-11
51,RSA12,Sudafrica,2,12,Thalente Mbatha,base,10-11
52,RSA13,Sudafrica,2,13,Foto equipo,base,10-11
53,RSA14,Sudafrica,2,14,Bathusi Aubaas,base,10-11
54,RSA15,Sudafrica,2,15,Yaya Sithole,base,10-11
55,RSA16,Sudafrica,2,16,Sipho Mbule,base,10-11
56,RSA17,Sudafrica,2,17,Lyle Foster,base,10-11
57,RSA18,Sudafrica,2,18,Iqraam Rayners,base,10-11
58,RSA19,Sudafrica,2,19,Mohau Nkota,base,10-11
59,RSA20,Sudafrica,2,20,Oswin Appollis,base,10-11
60,KOR1,Corea del Sur,3,1,Escudo (foil),T2,12-13
61,KOR2,Corea del Sur,3,2,Jo Hyeon-woo,base,12-13
62,KOR3,Corea del Sur,3,3,Kim Seung-gyu,base,12-13
63,KOR4,Corea del Sur,3,4,Kim Min-jae,base,12-13
64,KOR5,Corea del Sur,3,5,Cho Yu-min,base,12-13
65,KOR6,Corea del Sur,3,6,Seol Young-woo,base,12-13
66,KOR7,Corea del Sur,3,7,Lee Han-beom,base,12-13
