codigo,equipo,slot,jugador_tipo,tier,estado,repetidas,notas,posicion,club,nacimiento,altura,peso,conf_bio,orden_album,pagina,fecha_estado
00,Panini,0,Logo Panini (foil),T2,pegada,1,foil | pagina sin numero antes de la 1 (interior portada),,,,,,,0,0,2026-06-12
FWC1,FWC Especiales,1,Emblema oficial 1/2 (foil),T2,falta,0,foil,,,,,,,0,1,
FWC2,FWC Especiales,2,Emblema oficial 2/2 (foil),T2,falta,0,foil,,,,,,,0,1,
FWC3,FWC Especiales,3,Mascotas oficiales (foil),T2,falta,0,foil,,,,,,,0,1,
FWC4,FWC Especiales,4,Eslogan oficial (foil),T2,falta,0,foil,,,,,,,0,1,
FWC5,FWC Especiales,5,Balon oficial (foil),T2,falta,0,foil,,,,,,,0,2,
FWC6,FWC Especiales,6,Canada - anfitrion (foil),T2,falta,0,foil,,,,,,,0,2,
FWC7,FWC Especiales,7,Mexico - anfitrion (foil),T2,falta,0,foil,,,,,,,0,3,
FWC8,FWC Especiales,8,USA - anfitrion (foil),T2,falta,0,foil,,,,,,,0,3,
FWC9,FWC Especiales,9,Italia 1934 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,106,2026-06-13
FWC10,FWC Especiales,10,Uruguay 1950 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,106,2026-06-07
FWC11,FWC Especiales,11,Alemania Occ. 1954 - FIFA Museum (foil),T2,pegada,0,foil,,,,,,,0,107,2026-06-12
FWC12,FWC Especiales,12,Brasil 1962 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,107,
FWC13,FWC Especiales,13,Alemania Occ. 1974 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,107,2026-06-13
FWC14,FWC Especiales,14,Argentina 1986 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,108,2026-06-16
FWC15,FWC Especiales,15,Brasil 1994 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,108,
FWC16,FWC Especiales,16,Brasil 2002 - FIFA Museum (foil),T2,pegada,0,foil,,,,,,,0,109,2026-06-09
FWC17,FWC Especiales,17,Italia 2006 - FIFA Museum (foil),T2,pegada,0,foil,,,,,,,0,109,
FWC18,FWC Especiales,18,Alemania 2014 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,109,
FWC19,FWC Especiales,19,Argentina 2022 - FIFA Museum (foil),T2,pegada,1,foil,,,,,,,0,109,2026-06-13
ALG1,Argelia,1,Escudo (foil),T2,pegada,2,escudo foil,,,,,,,38,84-85,2026-06-13
ALG2,Argelia,2,Alexis Guendouz,base,perdida,0,,POR,MC Alger (ALG),26-01-1996,1.91,,high,38,84-85,2026-06-06
ALG3,Argelia,3,Ramy Bensebaini,base,pegada,0,,DEF,Borussia Dortmund (GER),16-04-1995,1.87,,high,38,84-85,2026-06-16
ALG4,Argelia,4,Youcef Atal,base,tengo,0,,DEF,Al-Sadd SC (QAT),17-05-1996,1.76,,high,38,84-85,2026-06-15
ALG5,Argelia,5,Rayan Aït-Nouri,base,pegada,0,,DEF,Manchester City FC (ENG),06-06-2001,1.80,,high,38,84-85,2026-06-13
ALG6,Argelia,6,Mohamed Amine Tougai,base,falta,0,,DEF,Esperance de Tunis (TUN),22-01-2000,1.91,,high,38,84-85,
ALG7,Argelia,7,Aïssa Mandi,base,falta,0,,DEF,LOSC Lille (FRA),22-10-1991,1.86,,high,38,84-85,
ALG8,Argelia,8,Ismaël Bennacer,base,pegada,,,MED,Dinamo Zagreb (CRO),01-12-1997,1.75,,high,38,84-85,2026-06-14
ALG9,Argelia,9,Houssem Aouar,base,pegada,0,,MED,Al-Ittihad (KSA),30-06-1998,1.75,,high,38,84-85,2026-06-13
ALG10,Argelia,10,Hicham Boudaoui,base,falta,0,,MED,OGC Nice (FRA),23-09-1999,1.75,,high,38,84-85,
ALG11,Argelia,11,Ramiz Zerrouki,base,pegada,0,,MED,FC Twente (NED),26-05-1998,1.83,,high,38,84-85,2026-06-12
ALG12,Argelia,12,Nabil Bentaleb,base,pegada,1,,MED,LOSC Lille (FRA),24-11-1994,1.87,,high,38,84-85,2026-06-14
ALG13,Argelia,13,Foto equipo,base,pegada,0,,,,,,,,38,84-85,
ALG14,Argelia,14,Farès Chaïbi,base,pegada,0,,MED,Eintracht Frankfurt (GER),28-11-2002,1.83,,high,38,84-85,2026-06-13
ALG15,Argelia,15,Riyad Mahrez,base,falta,0,,DEL,Al-Ahli SFC (KSA),21-02-1991,1.79,,high,38,84-85,
ALG16,Argelia,16,Saïd Benrahma,base,pegada,0,,DEL,Neom SC (KSA),10-08-1995,1.72,,high,38,84-85,2026-06-12
ALG17,Argelia,17,Anis Hadj Moussa,base,pegada,1,,DEL,Feyenoord (NED),11-02-2002,1.76,,high,38,84-85,2026-06-14
ALG18,Argelia,18,Amine Gouiri,base,pegada,0,,DEL,Olympique de Marseille (FRA),16-02-2000,1.80,,high,38,84-85,2026-06-09
ALG19,Argelia,19,Baghdad Bounedjah,base,perdida,0,,DEL,Al-Sadd SC (QAT),24-11-1991,1.84,,high,38,84-85,2026-06-06
ALG20,Argelia,20,Mohammed Amoura,base,falta,0,,DEL,VfL Wolfsburg (GER),09-05-2000,1.72,,high,38,84-85,
ARG1,Argentina,1,Escudo (foil),T2,pegada,0,escudo foil,,,,,,,37,82-83,2026-06-09
ARG2,Argentina,2,Emiliano Martínez,base,pegada,1,,POR,Aston Villa FC (ENG),02-09-1992,1.95,,high,37,82-83,2026-06-14
ARG3,Argentina,3,Nahuel Molina,base,falta,0,,DEF,Atletico Madrid (ESP),06-04-1998,1.75,,high,37,82-83,
ARG4,Argentina,4,Cristian Romero,base,falta,0,,DEF,Tottenham Hotspur FC (ENG),27-04-1998,1.85,,high,37,82-83,
ARG5,Argentina,5,Nicolás Otamendi,base,falta,0,,DEF,SL Benfica (POR),12-02-1988,1.83,,high,37,82-83,
ARG6,Argentina,6,Nicolás Tagliafico,base,pegada,1,,DEF,Olympique Lyonnais (FRA),31-08-1992,1.72,,high,37,82-83,2026-06-09
ARG7,Argentina,7,Leonardo Balerdi,base,pegada,0,,DEF,Olympique de Marseille (FRA),26-01-1999,1.90,,high,37,82-83,2026-06-09
ARG8,Argentina,8,Enzo Fernández,base,perdida,0,,MED,Chelsea FC (ENG),17-01-2001,1.78,,high,37,82-83,2026-06-06
ARG9,Argentina,9,Alexis Mac Allister,base,falta,0,,MED,Liverpool FC (ENG),24-12-1998,1.74,,high,37,82-83,
ARG10,Argentina,10,Rodrigo De Paul,base,falta,0,,MED,Inter Miami CF (USA),24-05-1994,1.80,,high,37,82-83,
ARG11,Argentina,11,Exequiel Palacios,base,pegada,0,,MED,Bayer 04 Leverkusen (GER),05-10-1998,1.77,,high,37,82-83,2026-06-09
ARG12,Argentina,12,Leandro Paredes,base,pegada,0,,MED,Boca Juniors (ARG),29-06-1994,1.80,,high,37,82-83,
ARG13,Argentina,13,Foto equipo,base,pegada,1,,,,,,,,37,82-83,2026-06-13
ARG14,Argentina,14,Nico Paz,base,falta,0,,MED,Como 1907 (ITA),08-09-2004,1.85,,high,37,82-83,
ARG15,Argentina,15,Franco Mastantuono,base,falta,0,,MED,Real Madrid CF (ESP),14-08-2007,1.80,,high,37,82-83,
ARG16,Argentina,16,Nico González,base,pegada,0,,MED,Atletico Madrid (ESP),06-04-1998,1.80,,high,37,82-83,2026-06-10
ARG17,Argentina,17,Lionel Messi,T3,perdida,0,,DEL,Inter Miami CF (USA),24-06-1987,1.70,,high,37,82-83,2026-06-06
ARG18,Argentina,18,Lautaro Martínez,base,falta,0,,DEL,Inter Milan (ITA),22-08-1997,1.74,,high,37,82-83,
ARG19,Argentina,19,Julián Álvarez,base,falta,0,,DEL,Atletico Madrid (ESP),31-01-2000,1.70,,high,37,82-83,
ARG20,Argentina,20,Giuliano Simeone,base,pegada,0,,DEL,Atletico Madrid (ESP),18-12-2002,1.79,,high,37,82-83,2026-06-10
AUS1,Australia,1,Escudo (foil),T2,pegada,2,escudo foil,,,,,,,15,36-37,2026-06-13
AUS2,Australia,2,Mathew Ryan,base,pegada,0,,POR,Levante UD (ESP),08-04-1992,1.84,,high,15,36-37,
AUS3,Australia,3,Joe Gauci,base,pegada,0,,POR,Aston Villa FC (ENG),04-07-2000,1.94,,med,15,36-37,2026-06-13
AUS4,Australia,4,Harry Souttar,base,pegada,0,,DEF,Leicester City FC (ENG),22-10-1998,1.98,,high,15,36-37,2026-06-09
AUS5,Australia,5,Alessandro Circati,base,pegada,0,,DEF,Parma Calcio 1913 (ITA),10-10-2003,1.91,,high,15,36-37,2026-06-09
AUS6,Australia,6,Jordan Bos,base,pegada,1,,DEF,Feyenoord (NED),29-10-2002,1.85,,high,15,36-37,2026-06-13
AUS7,Australia,7,Aziz Behich,base,tengo,0,,DEF,Melbourne City FC (AUS),16-12-1990,1.69,,high,15,36-37,2026-06-15
AUS8,Australia,8,Cameron Burgess,base,falta,0,,DEF,Swansea City AFC (WAL),21-10-1995,1.93,,high,15,36-37,
AUS9,Australia,9,Lewis Miller,base,pegada,0,,DEF,Hibernian FC (SCO),19-02-2001,1.78,,med,15,36-37,2026-06-13
AUS10,Australia,10,Milos Degenek,base,pegada,4,,DEF,APOEL FC (CYP),28-04-1994,1.84,,high,15,36-37,2026-06-14
